id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4769,25,Dec 16-31 2021 Network Fees,HOVER Inc. (139),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d5/e3/d5e3579c353184ae145c0ae058ce3014.png,139-18,256.0,Sr Front-End Engineer
4768,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-53,0.0,Senior Software Engineer CX (node.js/React)
4767,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-52,0.0,Senior Software Engineer CX (node.js/React)
4766,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-51,0.0,Senior Software Engineer CX (node.js/React)
4765,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-49,520.0,Senior Software Engineer CX (node.js/React)
4764,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-48,520.0,Senior Software Engineer CX (node.js/React)
4763,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-47,520.0,Senior Software Engineer CX (node.js/React)
4762,25,Dec 16-31 2021 Network Fees,Womply (294),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/40/3f/403fa64c277d923748fdb46ec6e741d7.png,294-20,640.0,Senior Software Engineer - Frontend
4761,25,Dec 16-31 2021 Network Fees,Womply (294),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/40/3f/403fa64c277d923748fdb46ec6e741d7.png,294-19,640.0,Senior Software Engineer - Frontend
4760,25,Dec 16-31 2021 Network Fees,"Compass, Inc. (231)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/10/fa/10fa3e35aa7446a4aa51fad53d27de51.png,231-201,224.4,Sr Visual Designer
4601,24,Dec 1-15 2021 Network Fees,Wayfair - ISC (328),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d0/63/d063fd0b1aae5424f6d4f99903366373.png,328-21,731.85,Full Stack Data Scientist on DS Catalog
4758,24,Dec 1-15 2021 Network Fees,Medable (262),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/58/08/58082f30358b3efc181a455b33184db7.png,262-86,640.0,Senior Web Designer
4757,24,Dec 1-15 2021 Network Fees,Jackson Family Wines (351),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/14/69/1469a97b97b20026b7b928f8ec8d0de9.png,351-64,181.5,UX / Service Designer
4756,24,Dec 1-15 2021 Network Fees,Sapient Corporation (219),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/9a/51/9a515b5f4987d06f8e6de8f2d1437f2f.png,219-20,152.0,Sr Product Designer
4755,24,Dec 1-15 2021 Network Fees,Versusgame (152),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/6b/a7/6ba7e34d86bb08a4cb79cfb8ae8b0d1b.png,152-23,2128.0,Sr. QA Automation Engineer (contract-to-hire)
4754,24,Dec 1-15 2021 Network Fees,Versusgame (152),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/6b/a7/6ba7e34d86bb08a4cb79cfb8ae8b0d1b.png,152-22,2128.0,Sr. QA Automation Engineer (contract-to-hire)
